Metric,false,master,close,spread
L2_RQSTS:ALL_DEMAND_MISS,"2731725,1789555,45067066,89077514,844922,268556322,235080853,1275402406","3342663,1554184,952417,735639,849131,619276,539997,612261","3667894,1776071,1191363907,789749,834932,523514,284416015,178771418","3676963,1594105,1186173394,756310,89221831,1050043051,326136582,406860504"
L2_RQSTS:REFERENCES,"1070316791,541894874,340537926,264699108,321846605,466073761,806554028,685949661","1067778274,533884088,328512590,264070778,228903298,131910286,133759590,131591002","1081613343,527158936,351027176,927113053,228802313,633079500,365908857,828530918","1077532191,531784916,321021748,354344857,232264399,387705350,250493870,799891154"
L2_RQSTS:MISS,"118468199,76390483,30387726,21196404,74085327,147025499,645313893,1054905550","148897840,59946156,27603829,20649559,30090199,10197657,10379117,10263681","150906778,66302217,47075107,20395570,24755936,683807307,375717630,415942048","162834501,60554817,24421374,920833921,32990192,1093125039,221332228,326498817"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"1481453,1823558197,1200249271,1013849198,882982301,728679969,702786901,1299122486","2053436,704695,405299,256777,436603,146105,131616,143182","2279377,961793,1239515969,89547824,820558967,148935,1022932128,178179678","2361139,1800940691,1228496690,964153571,894847357,187067907,422994643,407680021"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"1802327,1824817454,44975331,718935,883632913,729102141,900435746,356052418","1872845,1213124,802921,688597,748566,504533,503032,555149","1932574,1323488,93369686,90162707,916084398,720847346,801394234,784167554","1975507,1172642,1228243825,951541392,133054612,1237771278,1369938138,1107780740"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"205804,44276119,1194378187,1014875108,788064702,821881582,1014237760,912095316","216274,150435,95660,76189,72997,48434,43617,46299","198895,148542,95104,94604,133871498,182972571,778018880,542137412","207568,1807590472,1227945045,995834851,895124701,1189513713,1284773095,536375106"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"98948097,1826823733,1243665959,103962157,751289412,682149105,1427327154,1123631648","128559585,49196412,21875779,15347907,23583861,5932088,6311919,5955270","129866900,55404002,88157333,1017582239,107631192,6852936,316277319,184169596","142088112,1803271370,1217228511,1002119239,895132086,300297035,1282473770,887802285"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"2519184,1499724,1238658117,969759079,89359294,730684430,887398707,1450435237","2642695,1457903,995683,1164486,1071316,1449280,1192617,1346756","2812750,1641269,1239846246,927505510,180371662,714445333,707022670,179194786","2904689,1808230150,88833638,133518307,850648160,1281146597,468474428,1170450700"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"13605867,8723166,1193670802,3279413,883682434,315624660,1052020459,847869128","13635318,6879053,2942774,3082352,4329846,2198865,2260915,2184148","13753324,7201234,4350676,47765258,913581342,809988405,445217643,447705695","13631772,6851983,1232129861,962900532,762379583,326639312,1381010154,575283798"
RUNTIME,"1.08332,0.5793,0.38306,0.29864,0.25394,0.17864,0.31526,0.32236","1.02724,0.56066,0.37856,0.31204,0.28138,0.21546,0.24812,0.2722","1.0323,0.565,0.38194,0.29704,0.252,0.3054,0.3879,0.2058","1.03646,0.5617,0.37888,0.29496,0.25282,0.32856,0.3366,0.2205"
