Metric,false,master,close,spread
L2_RQSTS:ALL_DEMAND_MISS,"180981,1865814016,3249865728,194371,215737,2136334080,2829430016,1399921280,568517312,1032435520,3288147712","190853,191221,188239,195245,198065,194016,184923,185705,191614,185501,188961","2289641728,182497,228860,3769303040,2382286336,3452139776,3410802944,3099158784,3295684352,2027747200,1195730816","177320,184872,195702,2399208192,208260,2238601216,3064238848,229872,231628,515151648,1550195456"
L2_RQSTS:REFERENCES,"166483824,1831702784,3741982976,4343311360,1107947264,1469248384,1236746624,190598288,1928484608,4516955136,2493389824","142358128,142527536,142490256,142646240,142650464,142721200,142379232,142365536,142455120,142310896,142400576","961335424,184631568,2558041856,2843992576,1811175296,569086912,3473748224,198374736,594786944,1448380288,884940480","2655483904,489420512,566722176,530348864,2268381952,1724489216,2450109440,347151456,466495392,186046368,2804244736"
L2_RQSTS:MISS,"53742812,737301632,2611823360,7292370432,3969246720,53376544,45257968,658126016,2679664896,50729908,1223507584","64104616,64146944,64101252,64140052,64135340,64158560,64133900,64077856,63915432,63806932,63777516","46857952,37493208,453321376,47925176,971628480,1046262272,1817325696,38950464,1751985792,2104717312,50279368","2573672960,2964392960,2652760832,52845912,996031936,1470729344,47806512,205525712,1464884608,1167581696,881825728"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"3123894272,3952862208,4608737792,2641426688,967006400,957542464,3709248512,1955426816,191302,3462649344,1664998784","157163,160237,156238,166574,165475,163926,151389,155288,157275,151474,155952","1544085504,159927,1281184896,331728160,169082,3033920768,4107313408,1095859712,1872373632,1957264128,2017043200","1720092928,3807120896,2535315200,182721,3803228928,2054270592,1974168064,3355805696,2455138048,194305,1317665408"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"32176,3302894592,6206882816,9018167296,2536564224,4358695936,1527558784,3147428608,2653463040,2794029568,3834856704","37996,41016,43320,34920,36714,29004,27096,36417,39105,27733,35991","28777,30079,4240606208,4962416640,3307257344,403638464,3219982848,1261732608,31164,2724636160,1913424000","2055342720,5187756544,3461188608,4475005440,2145333760,1437091840,43041,1425110656,2015811840,902172416,1332529664"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"10808,3824760320,787493056,11094,4249423616,791051200,3013116416,1080316800,4351789056,2423752192,3396757760","15740,20698,15088,15244,15928,15985,18421,16614,17379,18751,16835","9435,1210894848,10251,4138939136,1929552128,3657968384,713965248,3572023808,714848256,1555053312,1185326720","2870555904,2079941120,2410294528,3729818624,2143333888,2029075840,15186,2716160000,1716841728,15536,1550738688"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"4358703104,3840123392,2692552704,39117352,1446138368,952875200,3531678720,666647552,2810818816,2776925440,2369688064","62000840,62109848,62045688,62106420,62102276,62117996,62110348,62036112,61851304,61797904,61773136","814095680,34357948,2104071168,1420297344,1929928960,235925088,4123370752,2088777600,2730249984,1343554944,635696256","62076940,2102596224,3951671296,3449198848,3347001344,49929720,2554371072,206108080,3029960960,1606516608,1217395456"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"551765,4479481856,2864717056,2064183680,3707992064,3270178048,3277457664,3719261440,830550656,132156864,3757390080","537547,533978,528631,542256,537747,536296,537439,539184,536551,536586,546487","575257,578015,2430691584,2028281344,1419078912,584963,898819200,589934,2707559936,1959673344,2489316864","3769607680,2936037632,3749473792,5329729536,578536,590113,2174691840,956842496,144877648,587840,470691616"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"1170021,4297293824,896296320,4615493632,3032597504,2172893440,2381074944,2573458176,3929271808,4555503104,1524138880","1272897,1276723,1275892,1284131,1295410,1287356,1281403,1280486,1279312,1282004,1283454","1066363,869690,1184150,1118931,4008423168,2030486272,4272167936,1165312,1570776192,2344334080,1423678848","2176501504,1031863040,4374937600,3765740288,223179168,1238361728,1188288,642212032,1861943168,1699446272,836693888"
Runtime,"0.623,0.417,0.317,0.282,0.266,0.255,0.249,0.242,0.239,0.238,0.234,0.247,0.24","0.933,0.597,0.414,0.351,0.314,0.294,0.281,0.27,0.264,0.257,0.252,0.248,0.247","1.021,1.104,1.172,1.265,1.353,1.434,1.54,1.618,1.725,2.193,1.898,1.998,2.082","0.934,0.599,0.41,0.348,0.317,0.295,0.281,0.274,0.265,0.258,0.25,0.248,0.246","0.603,0.418,0.311,0.287,0.266,0.253,0.244,0.243,0.24,0.235,0.231,0.233,0.229"
